Machine_ID,Machine_Type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type,target
M-CNC-001,CNC Milling Spindle (High Precision),298.62,312.56,2517.6,48.95,36,H,0
M-CNC-002,CNC Milling Spindle (High Precision),296.41,311.8,2282.0,53.32,13,L,0
M-CNC-003,CNC Milling Spindle (High Precision),301.83,305.91,1527.3,32.34,61,M,0
M-CNC-004,CNC Milling Spindle (High Precision),299.02,306.62,2301.3,30.58,59,M,0
M-CNC-005,CNC Milling Spindle (High Precision),299.19,311.07,1559.4,45.57,110,H,0
M-CNC-006,CNC Milling Spindle (High Precision),300.25,305.53,1317.1,62.96,174,L,0
M-CNC-007,CNC Milling Spindle (High Precision),298.13,304.88,2431.6,42.61,30,M,0
M-CNC-008,CNC Milling Spindle (High Precision),296.24,312.18,1665.8,51.5,62,M,0
M-CNC-009,CNC Milling Spindle (High Precision),299.83,305.66,2945.3,56.01,169,L,0
M-CNC-010,CNC Milling Spindle (High Precision),300.19,312.3,1359.3,32.84,17,M,0
M-CNC-011,CNC Milling Spindle (High Precision),298.72,306.44,2691.7,39.27,57,M,0
M-CNC-012,CNC Milling Spindle (High Precision),296.99,311.22,1334.2,64.48,141,H,0
M-CNC-013,CNC Milling Spindle (High Precision),296.04,311.34,2472.3,54.16,141,H,0
M-CNC-014,CNC Milling Spindle (High Precision),298.51,305.04,2753.6,49.93,66,H,0
M-CNC-015,CNC Milling Spindle (High Precision),298.18,306.93,2513.3,50.5,160,M,0
M-CNC-016,CNC Milling Spindle (High Precision),296.84,310.42,2569.4,47.45,141,M,0
M-CNC-017,CNC Milling Spindle (High Precision),299.66,307.85,1245.8,29.32,15,M,0
M-CNC-018,CNC Milling Spindle (High Precision),298.2,308.58,2833.6,34.97,79,L,0
M-CNC-019,CNC Milling Spindle (High Precision),297.6,304.69,1721.6,31.45,168,L,0
M-CNC-020,CNC Milling Spindle (High Precision),300.43,311.84,2646.6,32.46,161,M,0
M-CNC-021,CNC Milling Spindle (High Precision),301.65,312.06,1772.4,29.4,48,M,0
M-CNC-022,CNC Milling Spindle (High Precision),301.73,311.75,1212.5,45.43,80,M,0
M-CNC-023,CNC Milling Spindle (High Precision),296.84,307.04,2897.2,37.93,98,L,0
M-CNC-024,CNC Milling Spindle (High Precision),298.55,312.75,2932.4,35.07,94,M,0
M-CNC-025,CNC Milling Spindle (High Precision),297.99,304.33,2297.2,45.11,18,M,0
M-CNC-026,CNC Milling Spindle (High Precision),302.36,306.16,1460.8,44.58,177,M,0
M-CNC-027,CNC Milling Spindle (High Precision),300.7,310.85,1627.7,54.13,72,M,0
M-CNC-028,CNC Milling Spindle (High Precision),300.43,308.82,1362.5,58.41,64,H,0
M-CNC-029,CNC Milling Spindle (High Precision),296.29,309.32,2419.6,25.66,97,M,0
M-CNC-030,CNC Milling Spindle (High Precision),300.52,305.57,2443.7,40.47,169,H,0
